Model name,Model type,Folder,Topo_Precision,Topo_Recall,Topo_F1,Trivial_Precision,Trivial_Recall,Trivial_F1,Macro avg Precision,Macro Avg Recall,Macro Avg F1,Accuracy,SSIM,RMSE,LPIPS
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_30\trained_model,bs=64_perturb=True_lr=1e-04,0.892,0.827,0.850,0.867,0.966,0.911,0.879,0.897,0.881,0.901,0.616,0.112,0.092
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_31\trained_model,bs=64_perturb=True_lr=1e-04,0.545,1.000,0.671,0.369,0.200,0.228,0.457,0.600,0.449,0.560,0.302,0.450,0.641
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_32\trained_model,bs=64_perturb=True_lr=1e-04,0.541,0.999,0.666,0.314,0.184,0.206,0.427,0.592,0.436,0.552,0.295,0.458,0.645
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_33\trained_model,bs=64_perturb=True_lr=1e-04,0.503,1.000,0.641,0.173,0.101,0.115,0.338,0.550,0.378,0.511,0.267,0.500,0.680
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_34\trained_model,bs=64_perturb=True_lr=1e-04,0.714,0.991,0.791,0.991,0.670,0.773,0.853,0.831,0.782,0.792,0.452,0.221,0.208
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_35\trained_model,bs=64_perturb=True_lr=1e-04,0.927,0.618,0.736,0.752,0.989,0.849,0.839,0.804,0.793,0.825,0.438,0.204,0.216
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_36\trained_model,bs=64_perturb=True_lr=1e-04,0.916,0.247,0.350,0.619,1.000,0.754,0.768,0.624,0.552,0.668,0.223,0.382,0.450
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_37\trained_model,bs=64_perturb=True_lr=1e-04,0.788,0.309,0.388,0.654,1.000,0.778,0.721,0.655,0.583,0.701,0.283,0.344,0.451
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_38\trained_model,bs=64_perturb=True_lr=1e-04,0.745,0.991,0.811,0.990,0.732,0.819,0.867,0.861,0.815,0.824,0.522,0.188,0.151
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_39\trained_model,bs=64_perturb=True_lr=1e-04,0.517,0.998,0.649,0.210,0.126,0.140,0.363,0.562,0.394,0.523,0.274,0.488,0.670
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_4\trained_model,bs=64_perturb=True_lr=1e-04,0.615,0.991,0.712,0.559,0.348,0.377,0.587,0.670,0.544,0.624,0.360,0.379,0.558
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_40\trained_model,bs=64_perturb=True_lr=1e-04,0.588,0.998,0.699,0.569,0.298,0.339,0.578,0.648,0.519,0.605,0.337,0.402,0.588
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_41\trained_model,bs=64_perturb=True_lr=1e-04,0.521,0.998,0.651,0.225,0.135,0.150,0.373,0.567,0.401,0.527,0.278,0.484,0.668
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_42\trained_model,bs=64_perturb=True_lr=1e-04,0.493,1.000,0.634,0.137,0.078,0.090,0.315,0.539,0.362,0.500,0.262,0.511,0.685
